photo_id,building_id,unit_id,photo_type,photo_url,caption,source_url,source_last_checked
photo_61,the_blvd_collection,the_blvd_collection-m2_1201,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B401_Floorplan_B6-1.png,The BLVD Collection M2-1201 floorplan,https://verisresidential.com/apartments/m2-1201/,2026-05-28
photo_62,the_blvd_collection,the_blvd_collection-m2_1909,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B401_Floorplan_S3-1.png,The BLVD Collection M2-1909 floorplan,https://verisresidential.com/apartments/m2-1909/,2026-05-28
photo_63,the_blvd_collection,the_blvd_collection-ms_4604s,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B475_Floorplan_S1S-1.png,The BLVD Collection MS-4604S floorplan,https://verisresidential.com/apartments/ms-4604s/,2026-05-28
photo_64,the_blvd_collection,the_blvd_collection-mn_3806n,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B475_Floorplan_B5N-1.png,The BLVD Collection MN-3806N floorplan,https://verisresidential.com/apartments/mn-3806n/,2026-05-28
photo_65,the_blvd_collection,the_blvd_collection-m1_1010,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B425_Floorplan_A1-1.png,The BLVD Collection M1-1010 floorplan,https://verisresidential.com/apartments/m1-1010/,2026-05-28
photo_66,the_blvd_collection,the_blvd_collection-m2_0606,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B401_Floorplan_S2-1.png,The BLVD Collection M2-0606 floorplan,https://verisresidential.com/apartments/m2-0606/,2026-05-28
photo_67,the_blvd_collection,the_blvd_collection-m2_1707,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B401_Floorplan_MS2-1.png,The BLVD Collection M2-1707 floorplan,https://verisresidential.com/apartments/m2-1707/,2026-05-28
photo_68,the_blvd_collection,the_blvd_collection-mn_1607n,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B475_Floorplan_A4N-1.png,The BLVD Collection MN-1607N floorplan,https://verisresidential.com/apartments/mn-1607n/,2026-05-28
photo_69,the_blvd_collection,the_blvd_collection-ms_4602s,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B475_Floorplan_A2S-2.png,The BLVD Collection MS-4602S floorplan,https://verisresidential.com/apartments/ms-4602s/,2026-05-28
photo_70,the_blvd_collection,the_blvd_collection-ms_2306s,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B475_Floorplan_A2S-2.png,The BLVD Collection MS-2306S floorplan,https://verisresidential.com/apartments/ms-2306s/,2026-05-28
photo_71,the_blvd_collection,the_blvd_collection-ms_4701s,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B475_Floorplan_B3S-1.png,The BLVD Collection MS-4701S floorplan,https://verisresidential.com/apartments/ms-4701s/,2026-05-28
photo_72,the_blvd_collection,the_blvd_collection-mn_3303n,floorplan,https://verisresidential.com/wp-content/uploads/apartment-images/Veris_B475_Floorplan_A1N-1.png,The BLVD Collection MN-3303N floorplan,https://verisresidential.com/apartments/mn-3303n/,2026-05-28
