poi_id,building_id,building_name,poi_type,name,address,distance_meters,lat,lng,google_place_id,rating,user_rating_count,primary_type,source,source_url,source_last_checked,last_updated_at,source_name,updated_by,internal_notes
1214_fifth_avenue_restaurant_3,1214_fifth_avenue,1214 Fifth Avenue,restaurant,Cafe on the 5th,"E 103rd St, New York, NY 10029, USA",83,40.7921428,-73.9523223,ChIJKVDKfwD3wokRcP9ANn0_S2g,,,american_restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_restaurant_4,1214_fifth_avenue,1214 Fifth Avenue,restaurant,Farmer's Fridge,"Located in the Annenberg West Lobby near the bookstore, 1468 Madison Ave, New York, NY 10029, USA",124,40.7903100,-73.9521000,ChIJ8T-qtf1ZwokRGETcdFIDa0Q,,,restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_restaurant_5,1214_fifth_avenue,1214 Fifth Avenue,restaurant,Amy's Bread,"1220 5th Ave, New York, NY 10029, USA",133,40.7925380,-73.9519172,ChIJX2hYtB32wokR6_clmb3rXvA,3.9,48,bakery,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_restaurant_6,1214_fifth_avenue,1214 Fifth Avenue,restaurant,Rico’s Halal Food,"1468 Madison Ave, New York, NY 10029, USA",152,40.7900368,-73.9524474,ChIJMcJ4DwBZwokRcIzse-hJC-I,,,halal_restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_restaurant_7,1214_fifth_avenue,1214 Fifth Avenue,restaurant,Janah food truck,"1458 Madison Ave, New York, NY 10029, USA",165,40.7899172,-73.9523787,ChIJ3wqOeQBZwokRQWp-Wm-BlHM,,,halal_restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_restaurant_8,1214_fifth_avenue,1214 Fifth Avenue,restaurant,jadeoliveskitchen,"1234 5th Ave, New York, NY 10029, USA",186,40.7929230,-73.9514817,ChIJ5_3MZjL3wokR4dSST2RSId0,,,restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_restaurant_9,1214_fifth_avenue,1214 Fifth Avenue,restaurant,Caribbean Fiesta,"1544 Madison Ave, New York, NY 10029, USA",223,40.7927330,-73.9504160,ChIJOc_L_hz2wokRylTKnUe_OiU,4.3,95,restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_restaurant_10,1214_fifth_avenue,1214 Fifth Avenue,restaurant,Bawarchi,"1546 Madison Ave, New York, NY 10029, USA",231,40.7928159,-73.9503905,ChIJbd84-Rz2wokRK0NMu5YtaqQ,4.2,247,indian_restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_grocery_1,1214_fifth_avenue,1214 Fifth Avenue,grocery,Musheer 2 Candy Corp.,"1544 Madison Ave, New York, NY 10029, USA",223,40.7927430,-73.9504382,ChIJBxql_hz2wokRKTQtC4W80eQ,5,1,convenience_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_grocery_2,1214_fifth_avenue,1214 Fifth Avenue,grocery,Madison Deli & Grocery,"1550 Madison Ave, New York, NY 10029, USA",249,40.7929070,-73.9502132,ChIJuTCG-Rz2wokRN9ICsPodtm0,3.2,31,grocery_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_grocery_3,1214_fifth_avenue,1214 Fifth Avenue,grocery,Derek Deli Grocery Corp.,"102 E 103rd St 1st floor, New York, NY 10029, USA",282,40.7907030,-73.9491849,ChIJY3HGQR32wokRtGi_Y5wXUxo,5,3,grocery_store,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
1214_fifth_avenue_grocery_4,1214_fifth_avenue,1214 Fifth Avenue,grocery,Dalila's Market: El Tepeyac Taqueria,"126 E 103rd St, New York, NY 10029, USA",360,40.7903540,-73.9483583,ChIJ2WX0VB32wokRjYMN2qw0GoI,4.6,283,mexican_restaurant,Google Places API Nearby Search,,2026-06-03,2026-06-03,Google Places API Nearby Search,system_import,
