source_id,source_name,source_url,source_type,owner,refresh_cadence,last_synced_at,status,notes
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m2-2708/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m2-3001/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m2-3106/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m2-3201/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/m2-3801/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/mn-1602n/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/mn-1603n/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/mn-1607n/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/mn-1803n/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/mn-2008n/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/mn-2103n/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/mn-2403n/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/mn-3002n/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/mn-3303n/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/mn-3602n/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/mn-3802n/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/mn-3806n/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
source_verisresidential_com,verisresidential.com,https://verisresidential.com/apartments/mn-4607n/,listing_source,leasing_or_agent,4 hours,2026-06-07T04:48:14.888Z,active,Imported from local CSV during Google Sheet setup.
